0,5.1,6.21,NA
0,3.94,5.45,NA
2.09,4.38,3.3,NA
0.01,4.62,4.34,NA
0,3.86,4.22,NA
0,3.45,5.67,NA
0,2.62,6.29,NA
0.01,2.65,4.33,NA
0,4.28,5.7,NA
0,2.61,5.49,NA
0,2.8,5.8,NA
0,2.42,6.36,NA
0,1.83,6.95,NA
0,2.43,4.34,NA
0.01,3.25,5.72,NA
0.27,4.08,6.39,NA
2.52,6.32,9.47,NA
0.58,8.61,10.99,NA
0.38,8.28,12.06,NA
5.19,7.33,6.94,NA
3.37,10.24,13.44,NA
17.93,6.77,4.1,NA
15.91,2.3,0.67,NA
5.52,0.88,3.13,NA
1.13,2.02,4.98,NA
8.34,2.47,1.25,NA
14.41,2.65,1.5,NA
18.32,-0.48,0.7,NA
3.83,-0.78,3.47,NA
0.67,-0.78,4.76,NA
0.08,-0.4,4.55,NA
0,-1.06,8.07,NA
0,0.85,8.37,NA
0,0.58,8.75,NA
0.53,0.23,6.6,NA
4.99,0.43,2.58,NA
0.01,0.79,5.31,NA
0,0.67,8.9,NA
0,1.64,9.48,NA
0.23,0.46,7.07,NA
0.8,3.56,8,NA
2.02,4.52,3.36,NA
0.28,6.12,10.26,NA
12.54,7.02,4.93,NA
5.75,5.77,3.82,NA
2.63,7.09,11.72,NA
8.47,7.6,2.14,NA
1.41,6.12,6.46,NA
9.28,8.32,2.28,NA
22.52,4.59,4.1,NA
1.79,0.51,7.24,NA
0,4.02,11.3,NA
0,5.78,11.03,NA
3,4.04,9.88,NA
14.57,0.66,2.34,NA
1.02,0.75,9.43,NA
2.26,0.86,6.73,NA
0,2.39,11.82,NA
0,4.48,12.02,NA
0.07,5.43,13.76,NA
0.01,5.48,12.76,NA
6.45,4.36,4.84,NA
11.04,0.97,4.17,NA
0.02,1.2,13.02,NA
0,3,12.64,NA
5.33,2.57,5.72,NA
0,4.94,13.27,NA
0,6.95,15.72,NA
0.4,5,4.95,NA
0.02,8.65,14.56,NA
11.87,6.38,13.65,NA
2.7,4.22,3.25,NA
0.07,6.66,11.63,NA
16.77,3.34,1.15,NA
6.13,2.41,7.57,NA
0,3.14,16.77,NA
1.37,2.66,5.04,NA
7.88,4.39,3.81,NA
3.42,4.56,14.14,NA
5.78,5.14,9.44,NA
5.01,5.51,11.74,NA
3.84,5.21,9.4,NA
7.15,6.33,10.54,NA
28.57,5.01,2.68,NA
14.88,2.8,3.28,NA
0.69,3.94,9.55,NA
0.07,7.05,16.38,NA
14.79,2.6,3.67,NA
3.82,2.05,4.61,NA
13.59,2.08,2.07,NA
5.16,1.12,6.6,NA
1.02,2.63,12.94,NA
3.39,3,10.71,NA
0,6.64,18.25,NA
2.87,3.94,4.99,NA
0.08,2.35,17.65,NA
0.07,2.93,16.35,NA
3.86,3.51,5.81,NA
3.73,3.01,10.59,NA
0.02,3.19,19.61,NA
9.25,2.84,8.15,NA
4.67,3.55,9.73,NA
0,7.61,23.76,NA
0,11.2,25.18,NA
3.36,9.64,21.26,NA
0.33,9.32,13.71,NA
0,9.6,18.7,NA
2.34,10.95,17.62,NA
17.31,5.77,2.81,NA
0.1,7.76,17.93,NA
2.08,8.8,4.71,NA
0,13.63,21.02,NA
0.89,12.89,21.92,NA
1.25,7.12,10.77,NA
8.02,5.31,5.62,NA
7.26,4.96,8.53,NA
0,9.61,18.5,NA
0,13.56,19.86,NA
0,17.81,21.3,NA
0.28,16.81,19.25,NA
0.12,10.08,22.52,NA
0.19,6.37,20.64,NA
1.21,6.15,19.58,NA
2.91,4.14,18.32,NA
5.13,3.81,12.17,NA
0.1,4.94,17.16,NA
0,7.11,22.29,NA
0.83,9.41,12.12,NA
