0,8.44,19.97,0.22
0,6.12,17.57,0.21
0,6.81,18.21,0.21
0,5.71,22.46,0.21
0,2.25,23.77,0.2
9.99,7.13,10.15,0.2
1.11,4.83,12.17,0.44
0,3.16,17.04,0.62
0.03,4.01,9.88,0.41
0,2.08,20.69,0.32
0,0.55,18.47,0.28
0,-1.89,20.41,0.25
0,0.5,19.21,0.22
0.02,5.87,8.57,0.24
0.01,8.48,14.99,0.25
0,4.16,21.62,0.24
0,0.6,25.31,0.22
0,2.22,20.38,0.21
0,5.52,18.17,0.21
9.66,6.95,4.96,0.24
0.15,5.26,9.01,0.35
0.21,5.82,8.38,0.36
0.01,7.16,12,0.28
0,8.09,16.04,0.26
0,10.3,18.83,0.24
0,12.73,16.88,0.23
7.8,13.71,7.65,0.24
0.25,10.68,21.75,0.22
0,11.01,25.16,0.21
0.08,12.35,11.36,0.2
0.32,9.7,16.18,0.19
31.14,13.88,15.8,0.3
0.34,3.14,30.05,2.93
0,0.58,19.01,1.39
0,2.89,14.68,0.73
3.04,2.07,10.95,0.59
27.53,5.51,1.32,1.87
0.54,10.06,5.34,2.43
0.67,9.29,14.9,1.16
0,8.51,22.15,0.82
95.23,14.67,5.14,4.29
0.65,3.44,31.56,29.5
0,-1.1,26.87,17.92
0.65,1.82,12.59,3.95
0.02,7.54,11.79,2.21
3.07,11.47,7.23,1.79
3.04,15.34,8.6,1.68
3.78,16,2.56,1.68
1.85,16.35,9.33,1.46
0.02,16.34,18.08,1.25
0,16.11,28.2,1.08
0,16.23,20.05,0.96
1.66,15.34,16.27,0.88
0,11.9,38.14,0.89
0,12.97,27.34,0.78
0,14.52,23.57,0.73
0,15.72,21.39,0.68
0,17.03,26.65,0.65
0.24,16.94,27.78,0.62
2.59,16.69,10.76,0.59
0.17,13.21,25.17,0.6
0,12.85,21.55,0.56
18.77,15.73,8.1,0.76
0.99,16.07,26.97,4.73
0,11.22,28.9,2.36
0,11.43,23.52,1.24
0,10.83,28.26,0.96
0,10.64,26.79,0.81
0,10.78,24.93,0.73
0,12.69,28.21,0.69
0.04,11.56,27.4,0.65
0.82,12.61,20.43,0.61
0,13.44,29.29,0.59
3.04,14.92,33,0.56
0.14,13.48,41.05,0.63
0,13.1,36.64,0.67
6.99,14.82,26.72,0.62
0,8.91,45.78,0.78
0,10.35,30.4,0.59
8.64,12.14,17.49,0.52
16.72,14.3,15.39,2.13
0.13,9.87,24.48,1.86
0,11.39,27.45,1
0,12.41,25.3,0.78
0,14.33,32.51,0.69
0,15.39,27.35,0.63
0,17.61,29.24,0.59
8.14,18.33,25.46,0.57
28.03,20.74,25.93,6.28
1.98,19.61,11.12,14.75
13.75,20.54,22.61,5.69
0,18.45,31.39,2.37
0,19.72,34.38,1.65
4.35,22.29,25.98,1.36
13.29,18.35,31.4,1.95
0,15.1,32.07,1.83
0,15.81,32.12,1.2
0.04,17.73,20.03,1.01
0.07,20.06,14.91,0.92
0,21.15,26.08,0.85
0.06,20.82,19.24,0.77
0.34,21.3,15.39,0.71
0,21.79,19.9,0.68
0,22.53,25.12,0.63
0,22.88,30.53,0.57
0.92,22.46,23.1,0.52
0.07,22.69,24.03,0.49
0.01,22.94,25.44,0.48
0,23.19,28.56,0.43
1.16,23.24,24.3,0.4
0.03,22.1,25.63,0.37
0.7,21.45,17.47,0.33
6.64,22.76,20.66,0.39
1.49,20.54,32.98,1.34
0,20.74,37.84,0.8
0,21.56,38.55,0.5
0,22.55,39.45,0.4
0.18,22.58,26.46,0.33
8.05,23.03,15.23,0.33
0.12,25.05,29.83,0.38
0,22.62,33.62,0.36
0,19.63,44.78,0.28
0,20.55,41.28,0.25
0,22.29,36.66,0.22
2.16,21.73,21.97,0.22
2.52,20.02,20.32,0.66
0.08,20.46,24.3,0.93
0.2,20.69,20.52,0.55
0.21,21.25,28.04,0.42
5.31,20.61,27.69,0.34
0,17.99,39.63,0.28
0,18.95,36.37,0.25
0,21.43,39.96,0.22
2.22,21.93,27.76,0.21
0,19.71,44.22,0.2
0.13,19.98,35,0.18
0,23.56,39.12,0.17
11.49,25.03,37.96,0.17
21.83,22.67,14.76,1.33
0.08,18.13,27.38,2.5
0,19.29,32.57,1.09
0,21.97,37.03,0.62
0,22.04,27.17,0.45
0.44,23.1,23.96,0.35
0.36,24.48,30.54,0.29
42.66,22.14,10.18,1.76
0.19,22.84,21.53,3.81
0,24.19,26.6,1.31
0.34,25.24,21.25,0.8
1.89,25.9,20.38,1.47
0.32,26.04,28.89,0.93
7.03,25.09,17.13,0.7
6.27,24.71,12.35,0.74
0.62,26.28,19.9,0.86
3.05,25.97,14.6,1
0.39,26.43,15.51,0.8
5.66,26.57,16.57,0.59
16.62,24.98,7.2,0.59
11.58,25.87,13.97,4.51
0.06,27.9,26.02,3.11
2.75,27.49,20.24,1.27
11.73,26.21,9.27,0.88
8.1,26.54,13.29,3.86
0.02,27.56,24.83,2.88
0.01,27.98,27.87,1.43
0.14,27.83,24.12,0.96
0,28.35,31.81,0.73
0.01,28.07,30.24,0.61
0.31,28.57,31.26,0.52
0.12,28.91,36.16,0.46
0,29.4,33.26,0.39
0.11,29.61,36.02,0.34
0.29,29.99,35.68,0.3
2.53,29.57,32.25,0.27
0.85,28.26,23.39,0.33
0.24,28.55,32.37,0.45
2.54,27.9,28.2,0.35
0,27.45,49.68,0.27
0.2,27.09,32.38,0.22
0.15,26.94,40.64,0.2
0,27.36,35.81,0.18
12.71,24.1,10.19,0.17
3.84,23.02,12.85,0.16
2.89,23.96,14.94,0.17
1.88,25.8,20.51,0.17
7.79,25.55,14.2,0.18
5.32,26.63,18.94,0.28
0.06,28.2,28.81,0.29
0,29.18,29.4,0.27
5.13,29.04,32.96,0.18
4.58,28.89,27.19,0.17
2.29,28.19,23.28,0.21
0.19,29.06,30.97,0.2
0.09,30.03,32.18,0.18
0.02,30.84,39.55,0.15
0.02,31.2,39.42,0.13
0.24,31.28,37.94,0.12
0.15,31.37,38.45,0.12
0.21,31.49,38.39,0.11
1.88,31.33,36.33,0.1
1.53,30.41,34.03,0.1
2.09,30.83,38.21,0.18
0.01,31.22,47.89,0.12
0.3,31.64,50.42,0.1
4.79,30.39,37.37,0.09
3.04,28.93,25.31,0.09
0.13,29.5,34.26,0.1
0.14,30.09,38.16,0.14
0.08,30.13,38.04,0.12
7.2,29.13,26.29,0.1
0.37,28.59,31.19,0.12
0.31,28.44,40.86,0.1
0.67,27.55,30.89,0.1
0.26,27.71,29.71,0.09
0.16,28.17,34.59,0.09
2.59,28.21,29.1,0.08
0.89,28.4,29.57,0.07
0.4,29.39,33.64,0.07
0.96,29.8,38.13,0.07
5.45,27.38,22.84,0.33
0.09,28.56,32.84,0.49
4.37,28.08,25.44,0.24
0.16,29.42,36.31,0.13
4.05,28.75,30.54,0.11
5.88,27.76,22.45,0.15
0.45,28.92,30.26,0.14
0.06,29.7,32.71,0.15
5.83,29.97,33.03,0.1
6.79,27.67,16.53,0.09
8.44,27.65,18.44,0.09
18.26,25.31,7.82,0.21
16.92,24.83,5.41,0.16
3.03,24.28,12.61,0.13
0.98,24.69,16.67,0.19
1.33,25.51,20.3,0.13
0,25.78,28.75,0.1
0.2,26.89,29.36,0.09
0.17,27.18,32.3,0.08
0.02,26.69,30.75,0.07
0,26.93,25.37,0.07
3.13,26.35,13.52,0.06
14.66,26.08,7.92,0.06
6.73,25.87,11.19,0.07
1.55,26.75,17.52,0.07
10.24,26.16,11.67,0.07
4.04,25.38,10.9,0.13
1.41,25.82,15.2,0.16
0.54,26.16,20.31,0.14
1.53,26.11,16.35,0.11
1.04,26.33,18.7,0.09
0.12,26.31,26,0.08
0,24.15,38.41,0.07
0,23.81,33.63,0.07
0,25.9,32.2,0.06
0,26.96,34.59,0.06
0,27.34,33.23,0.06
3.55,25.9,20.37,0.05
14.24,23.43,5.39,0.12
0.9,23.56,21.75,0.48
0,20.86,39.59,0.31
0,17.39,39.13,0.14
0,17.3,28.51,0.1
0,19.36,31.11,0.09
0,21.08,31.22,0.08
0,22.66,34.55,0.07
0,24.85,31.78,0.07
0,23.73,36.92,0.06
0,25.43,30.14,0.06
0,25.19,35.51,0.06
0,25.37,34.78,0.06
0,25.76,32.63,0.05
0,25.04,45.2,0.05
0,25.6,39.64,0.05
0.02,25.86,30.37,0.05
0,23.46,48.26,0.05
0,18.49,42.08,0.05
0,20.89,41.2,0.04
0,23.55,35.58,0.04
0.04,24.71,24.57,0.04
0.84,21.55,29.79,0.04
4.05,16.39,11.99,0.04
6.08,21.44,12.06,0.06
15.85,22.66,4.62,0.06
2.38,21.3,5.8,0.07
0.02,20.61,17.2,0.06
0,19.89,35.11,0.06
0,19.28,29.05,0.06
0.01,21.31,18.79,0.06
0.01,21.47,17.95,0.05
0,23.12,27.76,0.05
1.5,19.87,31.26,0.05
0,13.74,41.48,0.05
0,14.42,30.36,0.05
0,17.26,22.75,0.05
0,20.79,23.85,0.05
7.61,14.18,11.99,0.05
1.57,11.93,30.22,0.05
27.33,15.88,0.84,0.06
8.38,18.44,5.48,0.06
0,14.11,18.73,0.06
0,14.55,17.13,0.06
0,16.98,18.14,0.06
0,18.45,19.48,0.06
0.06,19.1,18.05,0.06
0,19.11,21.21,0.06
0,19.54,19.14,0.06
0.03,19.64,16.69,0.06
4.58,20.13,12.16,0.06
0.75,19.47,10.52,0.06
0,16.9,27.34,0.06
0,13.65,27.11,0.06
0,14.91,21.69,0.06
16.17,15.58,6.86,0.06
16.53,14.94,12.46,0.08
0,13.49,20.54,0.11
0,12.42,17.22,0.1
